Substyle,Producer,Beer Name,Description,Photo ID
Imperial Stout,AleSmith Brewing Company,Speedway Stout,"Imperial stout brewed with Ryan Bros. coffee beans. Speedway Stout is a thick, rich brew, perfect for those who demand high performance from their beer. Deep and dark, it's full of toasty, roasty, chocolatey flavors, as any good stout ale should be. We brew it using precisely conditioned water, our championship yeast, the freshest hops and premium grains such as chocolate and black patent malts and roasted barley. But the real secret is the beans: pounds and pounds of coffee beans added to the brew, yielding even more levels of complexity and flavor. Such a fine brew demands the finest coffee so we chose premium microroast coffee beans from Sand Diego's own Ryan Bros. For a flavor sensation that can't be beat, look to the Speedway to find a real winner. This limited edition formula will race off the shelves, so try it today or you'll be left in the dust! Brewer's Choice and People's Choice 2002 San Diego Real Ale Festival. 12% alcohol by volume. Brewed and bottled by AleSmith Brewing Co., San Diego, CA.",812465001023
American Pale Ale,AleSmith Brewing Company,AleSmith X Ale,"Everyone needs X, get some! The people have spoken - they love to have X. This exceptional Extra Pale Ale won the People's Choice award at the 2000 San Diego Real Ale Festival, and second runner-up in 2001. People know what they want, and it's X. X is light-bodied and smooth-drinking with an incredible hop aroma and a subtle, complex flavor. The brewer's yeast in the bottom of the bottle is living proof that this is a top-quality bottle-conditioned beer. Conditioning in the bottle gives the beer a lush, velvety texture that you just cant get with force-carbonating. The bubbles are smaller, giving your taste buds a lot more to grab onto, and the difference shows from the first sip to the last. Nothing more, nothing less. Brewed & bottled by AleSmith Brewing Co., San Diego, CA.",812465000026
Belgian Tripel,Allagash Brewing Company,Curieux,"Ale aged in oak bourbon barrels. Bottling: May 25, 2012. Cases Bottled: 700. Each ale in this unique series is brewed in extremely limited quantities. Following a lengthy fermentation, it is aged in oak barrels - a different type of oak for each style. The oak aging process imparts a truly distinctive character. After bottling, it is allowed to rest in our cellars where natural carbonation slowly occurs. This ale will age very well. 11% alcohol by vol. Brewed & bottled by Allagash Brewing, Portland, ME.",603675108950
Belgian Dubbel,Allagash Brewing Company,Dubbel,"Belgian style. Bottle conditioned. This dark-amber Belgian style ale is hand brewed with 7 different malts, a special sugar and our Belgian yeast. The result is a unique beer with a complex malty taste and a remarkably clean finish. Please come visit our brewery and gift shop. 7% ABV.",603675102828
Belgian Tripel,Allagash Brewing Company,Tripel,Belgian style. Bottle conditioned. A golden hued strong ale with notes of fruit and honey. Please come visit our brewery and gift shop. 9% ABV.,603675104822
Lite American Lager,Amstel ,Lager Light,"Imported. Tradition since 1870. A taste of Amsterdam brewed in every bottle. This beer was born in Amsterdam - a city that's steeped in history, yet prides itself on being progressive. A place where open-mindedness always trumps convention. A city that doesn't know the meaning of status quo. That's the spirit with which we brew every bottle of Amstel Light. The recipe's grown out of a 140-year tradition. The flavor is as unique as the city in which it was born.",072890100115
Premium American Lager,Anchor Brewing Company,Anchor Steam Beer,"Made in San Francisco since 1896. Today Anchor is one of the smallest and most traditional breweries in the world. San Francisco's famous Anchor Steam brand beer is unique, for our brewing process has evolved over many decades and is like no other in the world. Anchor Steam brand beer is virtually handmade with an exceptional respect for the ancient art of brewing. The deep amber color, the thick creamy head, and the rich flavor all testify to our traditional brewing methods. Anchor Steam brand beer derives its unusual name from the 19th century when steam seems to have been a nickname for beer brewed op the West Coast of America under primitive conditions and without ice. The word steam may have referred to the pressure of natural carbonation developing in the beers. Today the brewing methods of those days are a mystery, and for many decades Anchor alone has used the quaint name steam for its unique beer.",072783000119
American IPA,Anchor Brewing Company,Liberty Ale,"San Francisco's famous Liberty Ale was first brewed on the 18th of April,1975 to celebrate the 200th anniversary of Paul Revere's historic ride. It is virtually handmade by the brewers of Anchor Steam Beer in one of the smallest and most traditional breweries in the world. Liberty Ale is made with the finest barley malt, fresh, whole hops, top fermenting yeast, pure water and the simple, natural methods which reflect our exceptional respect for the ancient art of brewing. It is dry-hopped, a classic ale tradition, and slowly completes its fermentation in sealed vats in our cellars. This unique process creates Liberty Ale's distinctive bouquet and uncommonly delicate, entirely natural carbonation. 6.0% Alc/Vol.",072783003004
Brown Porter,Anchor Brewing Company,Porter,Anchor Porter: America's ultimate dark brew since 1974.,072783002007
American Brown Ale,Stone Brewing Company,OAKED Arrogant Bastard Ale,"The Arrogance Grows: Too many strive towards complacency as a goal. They stop their urge and desire for discovery somewhere between youth and adulthood. And when they find their complacency as a goal. They stop their urge and desire for discovery somewhere between youth and adulthood. And when they find their complacency threatened, they do everything to recover the warm, fuzzy feeling of that lost complacency as quickly as possible. Throughout every culture, every country, and every way of thought you will find it. We grow up thinking that the ability to become complacent is the equivalence of success in life. True Arrogant Bastards know that this could not be further from the truth. The real beauty, richness and depth in life can only be found if the journey through life itself is looked upon as a constant chance to learn, live and find life's passion. Passion threatens the complacent, and fills them with fear. Fear of the new, the deep and the different. We, on the other hand, seek it out. Endlessly, joyously - and aggressively. To this end we bring you the Oaked Arrogant Bastard Ale. Another reward for those seeking new sources of passion, and another point of dissension for those who are not. Corrugated recycles. Hated by many. Loved by few. You're not worthy. 7.5% alc/vol.",636251820137
Standard American Lager,Asahi Breweries,Brewmaster's Select,"An original premium lager skillfully crafted using our finest malt and pure yeast selected by our brewmaster. Brewed and bottled for Asahi by Molson Canada, Toronto, Canada. Product of Canada.",038766900104
Standard American Lager,Asahi Breweries,Asahi Draft,"The beer for all seasons. Super dry. Asahi Beer is brewed from selected ingredients using our pure cultured yeast and our advanced brewing techniques. Asahi Beer has excellent richness, truly refreshing drinkability and satin smoothness. Brewed and bottled under Asahi's supervision by Molson Canada, Toronto, Canada. Product of Canada.",038766302144
Doppelbock,Brauerei Georg Schneider & Sohn,Aventinus,"Germany's original wheat-doppelbock, ale. Aventinus, the world's classic top-fermenting wheat-doppelbock, has received accolades for the perfect balance of fruity spiciness (banana, clove, vanilla) and notes of chocolate (crystal & dark malts). Unfiltered, unpasteurized, bottle-conditioned. Enjoy Aventinus, the massive twin of Schneider Weisse. Brewed according to the Reinheitsgebot. 8.2% alc./vol. Brewed and bottled by private Weissbier - Brauerei Georg Schneider & Sohn. Product of Kelheim, Bavaria/Germany.",737398018200
American Pale Ale,Ballantine,Ballantine Ale,"Dry hopped flavor. America's largest selling ale. Highest quality. Union made, Quality. Body, Flavor.",072130229064
American Pale Ale,,Bard's Malt Beer,"The original sorghum malt beer. Bard's gold. Contains no wheat, rye or oats. Discuss it over a Bard's. There are no lulls in a Bard's conversation, only pauses for drinking. Why? Because Bard's is brewed in the knowledge that a barstool is a pulpit and a round pub table is, well, a roundtable. As the original sorghum beer and the only beer in the universe that's brewed with malted sorghum, this nigh-magical formula appeals to anyone who likes goodness, freedom and camaraderie. Let us rise as one - and then sit back down and solve the world's problems over a Bard's. Because we don't believe in shortcuts, we go a step beyond other gluten-free brewers by malting the grain to give Bard's a fuller flavor and richer aroma. The result is a classic American beer. Made in USA.",182608000016
Oatmeal Stout,Anderson Valley Brewing Company,Barney Flats Oatmeal Stout,Bahl Hornin. Since 1987. Ale in Texas. Solar powered brewery. The legendary Boonville Brewery. 5.8% alc. by vol.,009125001701
Extra Special/Strong Bitter (English Pale Ale),Bass Brewers Limited,Bass Pale Ale,"The world's first pale ale. Imported. Est'd. 1777. The introduction of Bass Ale in 1777 was a revolution for English beer drinkers. In a world of stouts and porters, Bass Ale's light color stood apart and Pale Ale soon became a beer style of its own, providing a full flavored taste that starts out with hints of caramel, but finishes strong with a light, hop bitterness. In 1875, the Bass Red Triangle became England's 1st registered trademark due to the widespread attempts to replicate and undermine this famous beer.",762274071314
Premium American Lager,Coors Brewing Company,"Batch 19 Lager,  Pre-Prohibition Style","Banned. Defiantly bold beer. Drinking a beer became an act of protest against those in power. Each toast was a citizen's demand to enjoy life's simple pleasures. Once banned. Defiantly bold beer. In 1919, beer was banned. Barrels were broken. Breweries went belly up. Drinking beer became an act of protest against those in power. Each toast was a citizen's demand to enjoy life's simple pleasures. When beer became legal again 14 years later, it was never same. Inspired by an authentic Pre-Prohibition recipe. Now back. That is, until a few years ago when in the basement archives of the brewery dating back before Prohibition. Batch 19 is inspired by the last batches of beer brewed before 1919. Inspired by an authentic pre-Prohibition recipe, this bold, hoppy, and surprisingly balanced lager derives its bold taste from a rare combination of hops, including Hersbrucker and Strisselspalt. Hersbrucker hops provide herbal notes and Strisselspalt hops deliver notes of black currant. We are aware of no major brewer in America who uses this combination today. From the lost archives. Great beer. Great responsibility. 5.5% alc/vol.",071990170158
American IPA, Bear Republic Brewing Company,Racer 5,"Independent since 1995. The Norgrove family founded Bear Republic Brewing company to produce only the finest ales and lagers. Visit us in historic Sonoma County, California, where hop kilns from another era are still visible. Enjoy our handcrafted award-winning ales as we continue to work hard fostering a sense of loyalty and tradition from eras gone by. Racer 5 is an aggressive styled India Pale Ale. Handmade from a brewery whose motto is bigger is better. This golden, well hopped, bottle-conditioned ale demands your attention. Try the next generation of I.P.A. Racer 5, go, go. 7% ABV.",722130555099
American Amber Ale, Bear Republic Brewing Company,Red Rocket,"Original home brewed. Strong American red ale. Make beer not bombs. Red Rocket Ale is a bastardized Scottish style red ale packed with distinctive flavors and an aggressive hop character rivaled by none. This unfiltered, bottle-conditioned, amber-colored ale, breaks all style molds. Independent since 1995. The Norgrove family founded Bear Republic Brewing Company to produce only the finest ales and lagers. Enjoy our handcrafted award-winning ales as we continue to work hard fostering a sense of loyalty and tradition from eras gone by. Alc 6.8% by vol. Brewed & bottled by Bear Republic Brewing Co., Inc. Healdsburg/Cloverdale, (Sonoma County) California.",722130555105
American Wheat or Rye Beer, Bear Republic Brewing Company,Hop Rod Rye,"Independent since 1995. Hop Rod Rye is a high performance, turbo charged, alcohol burnin' monster ale with dual overhead hop injection, made with 18% rye. Brew Master Notes: Don't drink & drag. Sediment at bottom of bottle may be a result of the truckload of hops in this non-filtered ale. 8% alc. by vol. Sonoma County Ales. Brewed & Bottled by Bear Republic Brewing Co, Inc.",722130468078
Imperial Stout, Bear Republic Brewing Company,Big Bear Black,"Big Bear, as the name implies, is a hefty black stout. This stout boasts a rich, caramel sweetness lavished by a robust deep roasted heartiness you can really sink your teeth into. Brew Master Notes: Drink responsibly. Don't get mauled. Be on the lookout for other rare species of fine specialty ales from the Bear Republic. Cheers! Sonoma County Ales. 8.1% alc. by vol. Brewed & Bottled by Bear Republic Brewing Co, Inc.",722130468092
Oktoberfest/M_rzen,Beck's Brewery,Oktoberfest Beer,America's No. 1 Imported German Beer. Beck's Quality: Brewed under the famous German Reinheitsgebot only with natural ingredients.,082488129305
American Amber Ale,Bell's Brewery,Amber Ale,"You hold in your hand the flagship of the Bell's family. Amber ale. A unique copper ale crafted from mostly pale malts for a rich, sweet flavor unlike any other. Wow. Someone who reads six-packs. Serious research. And now you want some rational reasons to take a six of Bell's home. We can do that. Compared to most beers, Bell's uses boatloads more hops and malted barley. And not only do we put more in, we leave it there. Bell's brews are unfiltered and bottled conditioned. So you get all the sturm and drang novice beer drinkers would sprain a taste but on. Bell's beers. Proof that drinking and thinking are not mutually exclusive. Alc. 5.8% by vol.",740522100238
Weizen/Weissbier,Bell's Brewery,Oarsman Ale,"Unpasteurized. The talented group at Bell's Brewery sincerely hopes you enjoy this six-pack. Gosh knows they had a good time making it. Buoyant, tart and refreshing from using traditional sour mash methods. Great for you and your crew. Alc. 4.0% by vol.",740522105035
Brown Porter,Bell's Brewery,Porter,The talented group at Bell's Brewery sincerely hopes you enjoy this six-pack. Gosh knows they had a good time making it. Alc. 5.6% by vol.,740522100306
Witbier,Blue Moon Brewing Company,Belgian White Belgian-Style Wheat Ale,"At Blue Moon Brewing Company, everything we do stems from our artistic approach to brewing beer. Our philosophy is simple, we take great, classic styles and make them even better by adding unique twists. It's been like that since we added our first twist back in 1995 in Denver, Colorado, and that's why we say our beer - and everything we do - is artfully crafted. A refreshing, unfiltered wheat ale brewed and spiced in the Belgian tradition for a uniquely complex taste & uncommonly smooth finish.",071990095116
Belgian Pale Ale,Blue Moon Brewing Company,Belgian-Style Pale Ale,"Belgian-style ale brewed with orange peel and hibiscus. Pale Moon is our unique and inviting interpretation of the pale-ale style. Available for year-round enjoyment, it is brewed in the Belgian tradition with cascade hops, European malts, and a touch of orange peel and hibiscus to achieve a wonderfully complex balance of flavors without the overpowering hop bitterness that is typical of most other pale-ale styles. This Belgian-style Pale Ale is brewed with cascade hops and a touch of hibiscus & orange peel. At Blue Moon Brewing Company, everything we do stems from our artistic approach to brewing beer. Our philosophy is simple. We take classic styles and make them even better by adding unique twists. It's been like that since we started back in '95 in Denver, Colorado. And that's why we say our beer - and everything we do - is artfully crafted.",071990095710
American Amber Ale,Anderson Valley Brewing Company,Boont Amber Ale,Gold medal winner. One of the world's 10 best breweries. The legendary Boonville beer. Anderson Valley Brewing Company - consistently judged one of the world's finest breweries. Solar powered brewery.,009125000162
Belgian Golden Strong Ale,Brouwerij Bosteels,"Kwak Ale, Traditional Belgian Special","Family brewery Bosteels, Buggenhout, Belgium. Since 1791. Pauwel Kwak: Full-bodied Belgian Specialty Ale. Amber in color with beautiful foam and slightly sweet, seductive malt character. Rich, satisfying Belgian Ale experience. Brewed by Bosteels Family, brewers since 1791. Gold Medal, World Beer Cup. Rated exceptional, Beverage Testing Institute. Gold Medal European Beer Star. Alc 8.4% by vol. Product of Belgium.",747934094346
Belgian Tripel,Brouwerij Bosteels,"Tripel Karmeliet Ale, Authentic Belgian","3 grain. Blond, robust, smooth and fruity, with a delicate spicy flavor. Bottle conditioned ale made with oats, barley and wheat, a true 3 grain ale. 100% natural. Alc 8.4% by vol. Product of Belgium.",747934093349
American Wheat or Rye Beer,Breckenridge Brewery,Summer Bright,"A bright ale for the summer season. Brewed with orange and lemon peels. Fine Colorado ales. Alc. 4.5% by vol. Brewed and bottled by Breckenridge Brewery of Colorado, LLC Denver.",745432161003
American Amber Ale,Breckenridge Brewery ,Avalanche Handcrafted Ale,"Full-bodied, malty rich amber ale with a surprisingly light, sweet flavor. A hand-crafted ale.",745432110001
American Wheat or Rye Beer,Breckenridge Brewery ,Mountain Wheat Handcrafted Ale,"Filtered American wheat ale, with moderate hoppiness and crisp, floral character.",745432310005
Belgian Golden Strong Ale,Brewery Ommegang ,Three Philosophers Ale,"True Belgian-Style quadrupel 2011. 98% ale - 2% ale with cherries added. Brewery Ommegang is 3,264 miles from Brussels, but its heart is right in Belgium. It was created out of our devotion to the unique ales brewed by the country where brewing is an art and partaking is a passion. Part of the Duvel family of fine ales. Created by blending a rich, malty, Belgian-style ale with authentic Kriek, a classic cherry ale from Belgium, our Quadrupel is cultured yet wild, curious yet wise. And remember: Philosophy begins in wonder - Plato. Cellared at the brewery. 9.8% alc./vol.",649440000142
American Brown Ale,Brooklyn Brewery ,Brown Ale,"The all-American ale. Richly mahogany in color, Brooklyn Brown Ale is richer and hoppier than its mild and malty English forebears. Chocolate and coffee flavors punctuate the roasty malt background. Brooklyn Brown is brewed with malted barley, hops, water, and yeast. 5.6% alc by vol.",030613000043
Premium American Lager,Brooklyn Brewery ,Lager,"The Pre-Prohibition Beer. Amber gold, with a malty body and a floral hop character, Brooklyn Lage is a revival of Brooklyn's pre-Prohibition all malt lagers. This is the brewery's first and best selling brand. Brooklyn Lager is brewed only with malted barley, hops, water, and yeast. 5.2% alc/vol.",030613000012
German Pilsner (Pils),Brooklyn Brewery ,Brooklyn Pilsner,"New York's brewery. Brooklyn Pilsner is a pale refreshing lager, brewed in the style favored by New York's pre-Prohibition German-American brewers. Brooklyn Pilsner tastes best before the freshness date indicated. New York's brewery. In Texas, malt liquor. Brewed and bottled by The Brooklyn Brewery, Utica, NY. 51% alc. by vol. Brewed in New York.",030613000166
Extra Special/Strong Bitter (English Pale Ale),Brooklyn Brewery ,Pennant Ale '55,"Brewed in New York. Pennant Ale is brewed from Scottish Maris Otter malt, which is justly prized for its toasty, biscuity flavor and the round smoothness it imparts to beer. Our house ale yeast brings out an appetizing fruitiness and ferments to a dry finish. 5% alc by vol.",030613000159
Imperial Stout,Brooklyn Brewery ,"Stout, Black Chocolate","Brewed by the Brooklyn Brewery. In the last century, British brewers made strong stouts for the Czar's court. They were called imperial stouts. Our Black Chocolate Stout, brewed once yearly for the winter season, achieves a chocolate aroma and flavor through the artful blending of six varieties of black, chocolate and roasted malts. Alc. 10.0% by vol.",030613000180
Oktoberfest/M_rzen,Brooklyn Lager,Oktoberfest,"Pre-prohibition style. Please enjoy Brooklyn Oktoberfest, a rich, malty version of the lager brewed for the fall festival which originated in Germany with the betrothal of the Crown Prince of Bavaria in 1810. Brooklyn Oktoberfest is in the marzen style, an amber lager brewed in March and stored cold through the summer for sale in autumn. 5.5% alc by vol. Brewed and bottled by the Brooklyn Brewery, Utica, NY.",030613000531
Belgian Dark Strong Ale,North Coast Brewing Co,Brother Thelonious,"Carpe diem vita brevis. With all the interest in Belgian ales and the monasteries that brew them, it's time to remind the world that here in the US we have a Monk of our own. Jazz legend Thelonious Monk is the inspiration for North Cost Brewing's Belgian-style Abbey Ale. With an ABV of over 9%, this dark strong ale is rich and robust. This beer is released in association with the Thelonious Monk Institute of Jazz. For every case of Brother Thelonious Belgian Style Abbey Ale sold, North Coast Brewing makes a contribution to the Institute in support of jazz education. Let's call this Brother Thelonious. A delicious, Belgian-style Abbey Ale that could be a Monk's dream. Very Misterioso. Should be enjoyed straight, no chaser. Well you needn't wait till 'round midnight. Ask me now. World Beer Championships. One of the ten best breweries in the world. Beverage Testing Institute. Visit our website at: www.northcoastbrewing.com to see the complete line of North Coast Brewing Company beer gear! Brewed & bottled by North Coast Brewing Co., Inc. Fort Bragg, California.",727344001059
Belgian Dark Strong Ale,Chimay Brewery,"Peres Trappistes, Grand Reserve","Authentic Trappist product. The registered trademark Trappist certifies that this ale was brewed within the walls of an existing trappist monastery under the control of the trappist community. A major part of the sales revenue is used by the monks to support charitable works. The exceptional yeast isolated by Father Theodore, combined with the purity of the highly protected water of the abbey's wells, gives Chimay its unique richness. Since 1862, Chimay's secondary fermented ales have neither been pasteurised nor filtered and only natural ingredients are used. Alcohol 9% by volume.",081706000075
Belgian Dark Strong Ale,Chimay Brewery,"Peres Trappistes, Blue","Authentic Trappist product. The registered trademark Trappist certifies that this ale was brewed within the walls of an existing trappist monastery under the control of the trappist community. A major part of the sales revenue is used by the monks to support charitable works. The exceptional yeast isolated by Father Theodore, combined with the purity of the highly protected water of the abbey's wells, gives Chimay its unique richness. Since 1862, Chimay's secondary fermented ales have neither been pasteurised nor filtered and only natural ingredients are used. Alcohol 9% by volume.",081706000037
Belgian Tripel,Chimay Brewery,"Peres Trappistes, Cinq Cents","Triple. The registered trademark - Trappist - certifies that this Ale was brewed within the walls of an existing trappist monastery under the control of the trappist community. A major part of the sales revenue is used by the monks to support charitable works. The exceptional yeast isolated by Father Theodore, combined with the purity of the highly protected water of the abbey's wells, gives Chimay its unique richness. Since 1862, Chimay's secondary fermented ales have neither been pasteurized nor filtered and only natural ingredients are used. To fully appreciate the agreeable combination of fresh hops and yeast of the Chimay Cinq Cents, serve chilled, in a wide-mouthed glass. Alcohol 8% by volume.",081706000136
Belgian Tripel,Chimay Brewery,"Peres Trappistes, Triple","Authentic Trappist product. The registered trademark Trappist certifies that this ale was brewed within the walls of an existing trappist monastery under the control of the trappist community. A major part of the sales revenue is used by the monks to support charitable works. The exceptional yeast isolated by Father Theodore, combined with the purity of the highly protected water of the abbey's wells, gives Chimay its unique richness. Since 1862, Chimay's secondary fermented ales have neither been pasteurised nor filtered and only natural ingredients are used. Alcohol 8% by volume.",081706000020
American IPA,Dogfish Head ,60 Minute IPA,"The continually-hopped, bottle-conditioned India Pale Ale. 6% Alc. by vol.",638489000299
Imperial IPA,Dogfish Head ,90 Minute Imperial IPA,"Perhaps the best IPA in America. Kerry J. Byrne - Esquire Magazine. 2003/04/05 voted Best American Beer. Lush & enjoyable new, this beer ages with the best of 'em. The ingredients in our recipes come from the earth and the oven. The come from interfering and letting be. We use organic and natural ingredients wherever possible and our recipes are blissfully inefficient. We spend premium prices on the finest barley, hops & herbs. We use no extracts. For us, brewing is not a process of automation, but of imagination and passion. We wrap our hands around plastic shovels to clean out mash tuns. We wrap our hands around sticky clumps of whole leaf hops and toss them into the boil kettle. We wrap our hands around our work because we are proud to make something with our own hands. We hope you enjoy drinking Dogfish Head Craft Brewed Ales as much as we enjoy making them. What you have here is an Imperial India Pale Ale featuring a single, constant 90-minute hop addition. It's balanced by a ridiculous amount of English two-row barley. Then we dry-hop it in every tank. 9% alc by vol.",638489000619
